maintained	vzdrževana
tornese	Tornese.
bars	palice
deprived	prikrajšan
secure	Secure.
stares	gleda
perfect	Perfect.
possitive	Positive.
dead	mrtev
extended	podaljša
month	mesec
foyer	Foyer.
brocken	Brocken.
unacceptable	nesprejemljivo
five	pet
giant	velikan
hence	Zato
now	zdaj
comparing	Primerjava
middle	sredina
kallithea	kallithea.
minded	misleči
mainly	predvsem
stations	Postaje
below	spodaj
ridiculous	smešno
afterwards	nato
professionell	strokovnjak
carpet	Carpet.
spacious	prostorna
carlton	Carlton.
burger	Burger.
animations	animacije
hip	kolk
creaky	ŠTEKY.
âm	â € ™ m
mood	razpoloženje
frankfurtter	Frankfurter.
wonderfull	čudovito
itself	sama
organized	organizirano
idea	Ideja
next	Naslednji
marvelous	čudovito
makers	oblikovalci
stained	obarvana
visits	obiskov
enough	dovolj
reply	Odgovori.
courses	tečaji
alright	vredu
opera	Opera.
washbasin	umivalnik
takes	Po potrebi
prefer	raje
somewhere	nekje
replenished	dopolnjen
positive	Pozitivno
cologne	Köln
boys	fantje
after	Po tem
loved	ljubil
disclose	razkriti
actually	Pravzaprav
remind	spomin
stains	madeži.
date	Datum.
support	Podpora
offering	Ponudba
credit	kredit
fish	Ribe
10m2	10m2.
without	brez
desert	puščava
usually	običajno
known	znano
provided	zagotovljeno
spot	Spot.
transfer	Prenos
centre	center
dish	Dish.
able	sposoben
honeymooners	Mladoporočenci
cereal	žit
area	območje
healthy	Zdravo
meetings	Srečanja
pintxos	Pintxos.
customers	Kupci
san	San.
noise	Hrup
nicely	lepo
room	Soba
function	Funkcija
course	tečaj
byron	byron.
iron	Iron.
sleep	Spanje.
under	Spodaj
petros	Petros.
columbus	Columbus.
con	Z.
smoked	kadil
selection	izbor
ansd	Ansd.
allwe	Allwe.
immidiately	takoj.
idem	enako
kettle	Grelnik vode
invite	povabi
furnished	opremljeno
stop	ustavi
nearly	skoraj
charge	napolniti
70s	70 X.
hear	Poslušajte
furniture	Pohištvo
forthcoming	Prihodnost
jam	Jam.
feels	občutek
true	prav
impressions	Vtisi
steep	strmo
did	je
pull	Poteg
afraid	strah
however	vendar
backpackers	Backpackers.
flamenco	flamenco.
instead	namesto tega
liked	všeč
sunbeds	SunBeds.
exchanging	izmenjava
call	Pokliči
provide	zagotoviti
window	okno
summary	Povzetek
beginning	Začetek
must	Must
dansing	Ples.
modern	Moderna
made	narejen
fresh	svež
schiphol	Schiphol.
30th	30.
george	George.
attended	obiskoval
ã¡gent	ÀGen.
sufficient	dovolj
knowledge	znanje
25	25.
siena	siena.
tourist	Turist.
assorted	izbrana
hurghada	Hurghada.
grey	siva
neightborhood	okolico
observations	opazovanja
miami	miami.
servings	obroke
comprehensive	. \ T
priced	Cena
ago	nazaj
conected	povezan
bath	kopel
realised	realizirana
care	nega
throw	metati
set	Set.
providing	Nudenje
finding	Iskanje
touring	Touring.
housekeeping	gospodinjstvo
air	zrak
access	dostop
persons	osebe
polite	vljudni
agia	Agia.
unless	razen
blue	modra
important	pomembno
concerning	o tem \ t
wifi	Wifi
villa	Villa.
pre	Pre.
mobile	Mobile.
know	vedeti
problems	težave
comfortable	udobno
300	300.
almost	Skoraj
amsterdam	Amsterdam.
wasn	ni bil
transportation	Transport.
atmosphere	atmosfera
isolation	izolacija
mgmt	mgmt.
got	dobil
happy	srečna
standards	Standardi
troubles	Težave
âd	â € â € ™ D
heard	slišal
transition	prehod
b	B.
climb	vzpenjati se
terrific	Trup.com
darling	Draga
base	base.
comforts	udobje
disabled	onemogočeno
dame	dame.
boy	fant.
team	Ekipa
also	tudi
refrigerator	hladilnik
totally	popolnoma
heating	Ogrevanje
leaving	Odhod
zone	cona.
us	nam
closer	bližje
park	parkirati
cleanest	najčistejši
paied	paed.
cant	ne morem
impressed	impresioniran
degrees	Stopnje
hi	hi.
shelf	Slica
alternation	izmenjava
advance	Advance.
warmly	toplo
phone	Telefon
gran	Super
chill	Chill.
rooms	Sobe
louvre	Louvre.
spending	Poraba
bacteria	Bakterije
suit	. \ T
intrusive	vsiljiv
funiture	Pohištvo
disappointed	razočaran
surprising	presenetljivo
terrible	grozno
resort	letovišče
mr	gospod
moquette	Carpet.
conditions	pogoji
features	Lastnosti
winter	zima
friend	prijatelj
elysee	Elysee.
stolen	ukraden
aquagym	Aquagym.
smelt	Smallt.
hotels	hoteli.
trips	TRIPS.
picky	izbirčen
oversee	nadzoruje
members	člani
entrance	vhod
shop	Trgovina
add	Dodaj
detail	podrobnosti
felt	Felt.
vip	VIP.
canal	kanal
first	najprej
ask	Vprašaj.
trash	trash.
palace	Palača
bathrobes	kopalni plašči
knowledgeable	dobro
length	Dolžina
stag	Stag.
extremly	Izjemno
cover	Pokrov
advantage	prednost.
fridge	Hladilnik
gets	Gets.
arrivals	Prihod
me	me
port	Port.
track	Track.
re	re.
size	Velikost.
proffesional	strokovnjak
comfortablelounge	ComfutableLounge.
built	zgrajeno
delightful	čudovito
water	voda
wife	žena
monmarte	Montmartre.
elegance	Elegance.
pizzeria	Pizzeria.
inspection	Inšpekcija
oasis	Oasis.
plage	Plaža
thomsons	Thomsons.
miro	miro.
otherwise	drugače
completed	dokončan
junior	mlajši
angry	jezen
between	med
especially	Še posebej
establishments	ustanove
used	uporabljeno
gaps	vrzeli
rubber	guma
feb	februar
mixed	mešano
flat	stanovanje
letdown	razočarati
free	prost
charming	očarljivo
responsibility	odgovornost
fashioned	oblikovan
restored	obnovljena
italien	Italija
couldn	ne bi mogel
convention	konvencija
blonde	blondinka
cancelled	prekinjeno
accommodating	sprejem
frankfurt	Frankfurt.
indeed	prav zares
structure	struktura
nightclub	nočni klub
telling	povedati
finishes	konča
haque	haque.
utrecht	utrecht.
their	Njihov
like	kot.
enthusiastic	navdušena
mohamed	Mohammed.
singles	Singles.
50	50.
parking	Parkiranje
worth	vredno
massive	zelo veliko
left	levo
fi	BE.
copenhagen	København
unclear	nejasen
unhappy	nesrečen
tennisfriends	Tennisfriends.
wi	In
chic	CHIC.
travelers	Potniki
stunning	omamljanje
out	ven
requested	zahtevano
attitudes	stališče
ia	On.
cloth	Tkanina
explore	Raziščite
spreads	Namazi
attending	Potrjevanje
extrasthe	Ekstrasthe.
receptionists	receptorjev
whose	čigar
egypt	Egipt.
current	Tok
luxuries	Luxuries.
profession	poklic
satisfied	zadovoljni
better	bolje
ate	jedel
cozy	cozy.
same	enako
halles	Halles.
miserable	nesrečen
calimera	Calimera.
most	večina
holidays	Počitnice
happily	srečno
pension	Penzion.
lousy	slaba
climbing	plezanje
end	konec
fairly	pošteno
smell	vonj
personnel	osebje
deskstop	DeskStap.
octoberfest	oktoberfest.
marinachania	marina
trailer	Trailer.
insisted	vztrajal
till	To.
handled	ravnanje
desired	želeno
quite	precej
thank	HVALA
bathroom	kopalnica
such	tak
continue	Nadaljujte
amenities	udobja
elevator	dvigalo
nightclubs	Nočni klubi
flughaven	Letališče
double	double.
travel	potovanje
near	v bližini
safisfied	zadovoljni
brandy	Brandy.
pool	Pool.
drink	pijača
city	mesto
cleanliness	Čistost
passed	sprejel
slippers	copate
economically	gospodarsko
foor	Foor.
country	država
night	noč
snorkeling	potapljanje z masko
madrid	Madrid.
pools	bazeni
insects	žuželke
stars	zvezde
included	Vključeno
aldo	Aldo.
definitively	dokončno
carparking	CARSARKING.
ât	â € ™ t
spacy	spacce.
since	od
old	star
wonderful	čudovito
lanka	Lanka
visit	Obiščite
orly	Orly.
info	Info.
quick	QUICK.
mins	Mins.
compact	Compact.
stephanie	Stephanie.
travellers	Potniki
bliss	blaženost
borring	Bring.
issues	vprašanja
oterwise	drugače
beer	pivo
clubs	Klubi
passing	mimo
won	Won.
lyon	Lyon.
took	je
tip	Nasvet
video	Video.
personal	osebna
cause	vzrok
calm	mirno
reasonable	Razumno
espresso	espresso.
expense	strošek
breaker	Breaker.
range	območje
presented	predstavljeno
until	Do.
perfekt	Perfect.
checkin	Prijava
his	njegov
feel	občutek
pleaseure	užitek
snorkelling	snorkel
tasteswe	okuswe.
gobelins	gobelins.
heart	srce
above	nad
husband	mož
5	5. 5.
everyone	vsi
argue	trdijo
association	Združenje.
assist	pomoč
ad	ad
definetely	definitivno
backing	Podpora
disadvantage	pomanjkljivost
visitors	Obiskovalci
tv	TV.
say	reči.
getaway	Pojdi stran
triump	Triumph.
bilbao	Bilbao.
surge	Surge.
chosen	izbran
interestingin	Zanimivo
excursions	Izleti
audience	občinstvo
animators	Animatorji
garage	garaža
ample	veliko
but	zvezek
facilities	Objekti
passport	Potni list
nn	nn.
round	kroga
doesen	doesen.
jammed	zagozda
thought	mislil
reasons	razlogov
purpose	Namen
sky	Sky.
elysees	elysees.
windows	Windows.
ship	ladje
usd	ameriški dolar
explain	Pojasnite
arc	lok
more	več.
change	Spremeni
namely	namreč.
taken	vzeti
why	zakaj.
before	prej
improvement	izboljšava
cooks	Kuharji
underconstruction	v izgradnji
unfriendly	neprijazno
what	kaj
mention	omeniti
35	35.
smoking	kajenje
tourists	turisti
patient	potrpežljiv
station	Postaja
making	izdelava
olso	OLSO.
march	pohod
seeing	vidim
3rds	3.
hussein	Hussein.
bright	Bright.
hof	hof.
public	javno.
ensures	Zagotavlja
highly	zelo
starting	Začetek
beaches	plaže
campsite	Kamp
minute	minuto
milano	Milano.
days	dnevi
considering	upoštevanje
english	angleščina
topaz	Topaz.
low	nizka
20	20.
thanks	HVALA HVALA
revisiting	Revising.
based	temelji
axaha	ElB.
go	pojdi
going	Going.
considered	obravnavana
young	mlajši
relaxed	sproščeno
castelo	Grad
claiming	trditev
bed	postelja
pants	Hlače
dreamy	sanjy.
started	začel
lots	veliko
frequent	Pogosto
main	main.
thus	zato
changes	spremembe
things	stvari
couple	par.
club	Club.
trouble	Težava
modest	skromna
begrudge	begrudge.
book	Book.
azerbaijan	Azerbajdžan
pond	ribnik
alanani	Gumb
fingerprints	prstni odtisi
powerful	močan
gardens	vrtovi
talking	Talking.
many	Mnogi
hostel	Hostel
certain	zagotovo
missed	zamudil
may	maj
one	eno
dated	Dated.
willing	pripravljen
german	Nemščina
entertainment	Zabava
spent	preživel
april	april
car	avto
mangers	Mangers.
40	40.
load	Load.
i	jaz
intersection	križišče
duty	dolžnost
several	več
numerous	številne
amination	aminacija
siro	Siro.
managed	upravlja
believe	verjeti
domicile	domicile
located	se nahaja
beach	plaža
yourself	sami
seven	sedem
extra	dodatno
floods	poplave
marriott	Marriott.
transport	Transport.
tiny	Tiny.
bubba	bubba.
rimini	Rimini.
swans	Swans.
tournaments	turnirji.
anyway	vseeno
cross	križ
sunbed	ležala
sports	šport
dinner	večerja
holes	luknje
276	276.
sunrise	Sunrise.
d	D.
residents	prebivalci
lounge	Lounge.
words	Besede
finest	Finest.
few	nekaj
spoiled	razvajen
singer	Singer.
means	pomeni
much	veliko
rate	oceniti
12	12.
flight	Let
offer	Ponudba
checking	preverjanje
relations	Odnosi.
120	120.
son	sin
how	kako
oberoi	Oberoi.
plus	plus.
wall	zid
walls	Stene
american	ameriški
sastisfied	zadovoljni
sã¶dermalm	sÃ¶dermalm.
became	postati
then	potem
olive	Olive.
champ	Champ.
does	dogaja
regular	redno.
family	družina
weekly	Tedensko
dj	dj.
children	otroci
name	Ime
amp	amp.
4	4. 4.
firenze	Firence
hotel	Hotel.
min	me
great	Super
hours	ure
alphons	Alphons.
playground	igrišče
death	smrt
niuewstraat	NIUUEWSTRAAT.
outlet	Outlet.
loud	glasno
immaculately	nemašeno
overal	povsod
bread	kruh
soap	milo
disgusting	ogabno
door	vrata
sercices	storitve
beds	Postelje
croissants	rogljički
rules	pravila
buses	Avtobusi
