singles	subaylıq
comfy	rahatlıq
sit	oturmaq
neightborhood	qonşuluq
warmbarman	istilaçı
blue	mavi
minibar	mikroavtobus
touring	gəzinti
street	küçə
6	Əqrəb
unmatched	miskinsiz
prefer	üstünlük vermək
delightful	ləzzətli
tourists	turistlər
happened	başıb oldu
marseillan	marseillan
ensures	təmin etmək
denmark	Danimarka
given	verilmiş
dogs	itlər
elysees	elysees
relatively	nisbətən
cars	avtomobillər
private	xüsusən
animations	animasiya
cooking	bişirilmə
westminster	qasırğa
careful	ehtiyatlı
travelodges	travan
just	cadarat
pull	çəkmək
miro	miro
especialy	xüsusilə
got	varlı
dedicaced	fədakarlıq
seen	görkəmli
stephanie	defani
thing	şey
average	orta
luxuries	lüks
everybody	hər kəs
ready	hazır
powerful	güclü
pleasantly	ləzzətlə
neighbourhood	qonşuluq
fist	yumruqlamaq
choice	seçim
sablon	Ekranı çap etmək
d	d
joy	sevinc
helpfull	faydalı
full	tam
awful	zəhmli
husband	ər
tube	boru
destinations	istiqamətlər
rose	yüksəltmək
employees	işçilər
â¬	â ası
bath	hamam
dark	qaranlıq
directions	istiqamətlər
slow	ləngitmək
owners	sahibkarlar
alphons	əlifba
nespresso	nespresso
visit	ziyarət etmək
recommendations	tövsiyələr
main	əsas
stay	qalmaq
attentive	diqqətli
constantly	daim
tell	söyləmək
found	tapdalamaq
2011	2011
metro	metro
conclusion	rəy
chldren	uşaqlıq
by	tərəfindən
reason	səbəb
least	ən azı
dislike	bəyənmədim
peopel	Xalq
volvereta	Volverteta
lock	bağlamaq
century	əsr
dana	dana
topaz	topaz
prado	prado
really	həqiqətən
pictures	şəkillər
living	canlı
m	m
neatly	səliqəli
advertised	elan olunan
activities	fəaliyyət
b	b
languages	dil
tennisfriends	tennisfriends
numerous	çoxsaylı
likely	ehtimal ki
weekenders	həftə sonu
grand	böyük
five	beş
build	tikmək
royal	kral
make	etmək
television	televiziya
drinks	içki
tasteful	zövqlü
kinds	tövləsi
cook	bişirmək
transfer	təhvil vermək
based	əsaslı
alternation	alternativ
re	cığırlamaq
tub	çəllək
ideal	ideal
wonderful	xoş
started	başlanğıc
cruise	kruiz
classiest	klassik
options	Seçimlər
rent	icarə
par	vasitəsilə
restrooms	tualet otaqları
facilities	qurğu
me	mənim
floor	döşəmə
reality	reallıq
agia	aqia
major	major
go	getmək
function	funksiya
breakfasts	Səhər yeməyi
unexpected	gözlənilməz
here	bura
enthusiastic	həvəsli
expectations	gözləntilər
inn	Mehmanxana
unconfortable	narahat
beaituful	Gözəl
ones	çoxlu
number	saymaq
true	doğru
practically	praktik olaraq
cant	ulant
nevertheless	buna qədər
trousers	şalvar
smile	gülümsəmək
trimphe	triomphe
cold	soyuq
impossible	qeyri-mümkün
felt	hiss etmək
pay	ödəmək
heart	qəlb
simplistic	sadəlövh
dansing	rəqs
start	başlamaq
chose	seçmək
exelent	əlacı
why	niyə
touristy	turistlik
both	hər ikisi
patient	salıb
bathing	çimmək
meal	yemək
game	oyun
unfriendly	qeyri-qənaətbəxş
this	bu
don	donuz
intersection	kəsişmə
germans	almeralar
generally	ümumiyyətlə
photos	fotoer
customers	müştərilərə
tuscany	tuskana
tho	tho
until	qədər
okay	tamam
cabinets	kabinetlər
mall	malal
items	maddələr
do	etmək
running	qaçış
almost	təxminən
chance	şövq
size	ölçü
convention	konvensiya
via	ilə
alley	xiyaban
rer	qamışlamaq
around	ətrafında
scam	fırıldaqçılıq
personal	fərd
ness	ness
foreign	əcnəbi
having	varlı
usually	adətən
till	üçün
vodka	voxka
miserable	bədbəxt
whose	kiminsə
âs	~ ~
dress	cılız
problems	problemlilik
hours	sair
terrible	dəhşətli
clean	təmizləmək
lifestyle	həyat tərzi
complex	mürəkkəb
snorkeling	snorkeling
small	kiçik
stayed	qalmış
top	üst
whenever	hər dəfə
allocated	ayrılmış
which	hansı
complain	şikayət
getting	əldə etmək
2010	2010
breathtaking	nəfəs kəsən
two	iki
putting	qoyulma
higher	ali
hte	ht
fashioned	moda
personnel	personka
yet	hətta
comfortablelounge	cevizi
south	cənub
decided	qərar
wish	arzulamaq
speaks	danışan
variuos	müxtəlif
games	oyun
floods	daşqın
twice	iki dəfə
where	harada
flamenco	flamenko
climb	dırmaşmaq
madrid	madrid
among	arasında
unless	nə olmasa
taking	alıb-alışmaq
staff	kadr
affordable	əlverişli
hilton	hilton
skype	skype
chosen	seçilmiş
reservation	rezervasiya
somewhere	haradasa
track	izləmək
awesome	zəhmli
reccomend	tövsiyə etmək
intrusive	müdaxilə
out	sönük
eat	yeyinmək
betting	bahis
accommodation	yerləşmə
appart	əlverişli
possitive	əla
restricted	məhdudlaşdırılmış
nevskii	Nevskii
advantadge	sərəncam
dine	sizin
mohamed	Məhəmətli
repeatative	təkrar
informed	məlumat
nicely	qəşəng
sleep	yatmaq
melia	melia
sunrise	günəşin doğuşu
otherwise	əks təqdirdə
minus	minus
lord	lord
visible	görünən
sunny	günəşli
2013	2013
pricey	bahalı
once	bir dəfə
covered	qapalı
positive	müsbət
cuase	səbəb olmaq
unbelievable	inanılmaz
mess	mess
13	Əqrəb
di	dən
age	yaş
disaster	fəlakət
â	â € ™
basin	hövzə
heated	qızdırılmış
team	komanda
distances	məsafə
spaces	fəzalar
smooth	hamarlamaq
impressed	heyranedici
purpose	mastika
cause	səbəb olmaq
boutiques	butiklər
welcomes	alqışlayır
inside	içəri
pizzeria	pizzacı
ground	torpaq
perfekt	Mükəmməlləşdirmək
unfortunately	təəssüf ki
olso	olso
stopped	dayandı
ago	əvvəllər
never	heç vaxt
paied	duru
quickly	sürətlə
feature	xüsusiyyət
program	proqram
charge	şarj etmək
her	onun
find	tapmaq
things	şey
beware	çəkmək
come	gəlmək
avoided	əlindənhayabənzər
animaters	animator
loud	ucadan
city	şəhər
eight	səkkiz
making	etmək
wc	Ayaqyolu
tea	çay
12	Əqrəb
bathroom	vanna otağı
kassandria	kassandria
flies	uçurmaq
reception	zəbt
manner	tərzə
years	illər
cultures	mədəniyyətlər
leisure	asudə
institute	institut
field	sahə
bacteria	bakteriya
legs	ayaqları
earned	qazanılmış
smelled	iylənmiş
petros	petroz
mean	demək
spotlessly	ləkəsiz
cool	sərinləşdirmək
been	baş
invited	dəvət
corridor	dəhliz
sheraton	şeraton
attractions	attraksion
shoes	ayaqqabı
garden	bağ
creaky	qıvrımlı
carparking	karpörtüşmə
rest	dincəlmək
oterwise	əks təqdirdə
quicker	yeyinti
smokers	siqaret çəkənlər
pathã©	pathã ©
flavouring	ətirli
space	yer
maximizes	maksimallaşdıran
namely	məhzun
requests	istək
downstairs	aşağı mərci
cleaness	təmizlik
preciseness	dəqiqlik
france	fransız
7th	Küsəyən
peoplethe	peoplete
trier	triper
scale	miqyaslı
lights	işıqlar
tower	qüllə
vip	vip
kept	saxlanılmaq
welcome	xoşnaş
dec	dekabr
person	şəxs
â	â € â €
chipped	qırxılmış
visited	ziyarəti
knowledgeable	bilikli
holidays	tətil
periferique	perifherique
everyone	hər kəs
giant	nəhəng
honor	fəxri
its	onun
swans	qaranquş
mexican	meksikalı
different	fərqli
steakhouse	steykouse
over	artıq
immediately	dərhal
degrees	dərəcə
reseption	zəbt
pool	hovuz
steigenberger	steigenberger
fresh	təravətli
coktailsstaff	coktailsstaff
pleasure	zovq
weeks	həftəlik
verry	silmək
entertaintments	avans
he	o
breathtaken	nəfəsalma
colorful	rəngarəng
nightclubs	gecə klubları
every	hər
recently	bu yaxınlarda
surrounding	ətraf
2014	2014-cü il
class	sinif
cologne	odun
persistent	israrlı
is	var
treated	rəftar
son	oğul
cancelled	ləğv edildi
points	xal
arrived	gəlmişkən
land	torpaq
luxurous	dəbdəbəli
created	yararlı
stationthe	stolüstü
stupid	beyinsiz
laying	yırğalama
lighting	işıqlandırma
kitchen	mətbəx
wonderfull	ecazkar
very	çox
roadside	yol kənarında
inspection	müayinə
interested	maraqlanan
underground	yeraltı
selection	seçmə
event	hadisə
defiantly	qətiyyətcə
part	qismən
possibly	bəlkə
sufficient	kifayət
centre	Mərkəz
colleagues	həmkarları
stores	sükan
connected	əlaqədar
star	ulduz
no	yox
croissants	kruvasan
urine	sidik
sray	Mehmanxana
efficiently	təsirli
cannot	kömək etmək olmur
remark	rəy
wall	divar
neighborhoods	məhəllə
diidn	imtina
gone	ardınca getdi
charm	cadugərlik etmək
tag	etiket
high	yüksək
had	varlı
budget	büdcə
seven	yeddi
interior	daxili
ship	gəmi
free	sərbəst
tidy	səliqəli
crazily	dəli-dəli
slendid	qamqal
friendliness	dostluq
necessary	zəruri
close	yaxın
calling	zəng
waits	gözləmək
invaded	işğal etmək
3am	general
bloody	qanlı
must	almalı
broken	qırıq
technology	texnologiya
provides	təmin edir
separated	ayrılmış
using	istifadə
furnished	mebelli
disgusting	iyrənc
stop	dayanmaq
light	işıq
fat	yağlı
held	keçirilib
more	daha çox
baku	Bakı
hence	bu səbəbdən
center	Mərkəz
ia	o
wear	taxmaq
since	o vaxtdan bəri
niuewstraat	Niuuewstraat
studio	studiya
etiquette	etiket
smiles	gülümsəmək
refund	qaytarmaq
nes	kimi
modest	təvazökar
letdown	lot
messe	messe
spot	ləkə
outstanding	görkəmli
town	şəhər
makers	yaraşananlar
mail	poçt
cafe	kafe
audience	tamaşaçı
quite	daban
excecutive	icraedici
so	belə ki
thus	beləliklə
mobile	mobil
connect	qoşulmaq
minded	fikirli
older	yaşlı
grandaughter	gülə etmək
rules	Qaydalar
desk	Yazı masası
â·	·
american	amerikan
hospitality	Qonaqpərvərlik
diner	yeməkxana
animation	animasiya
vieuz	viuzuz
breaks	pozğunluq
makes	edir
emily	emily
than	bundan daha çox
safe	seyf
escalator	eskalator
advantage	sərəncam
marvelous	ecazkar
front	cəbhə
balu	top
90	90
ride	Sürmək
suite	dəsgah
designed	tərtib edilmiş
passing	keçirici
down	aşağı
music	musiqi
month	ay
gladly	məmnuniyyətlə
schiphol	şiphol
key	key
touchwith	touchwith
guest	Qonaq
spirits	kef
stops	dayanacaq
comfort	rəğbət
inclysive	əhatəli
sure	əlimdən gəlmək
outdated	köhnəlmiş
attended	qatıldı
following	ardınca
hundred	yüz
has	var
hope	ümid
dorint	dorint
difficult	çətin
portions	hissə-hissə
jean	jean
tend	meyl etmək
afraid	qorxmaq
hell	cəhənnəm
a	bir
then	sonra
ihad	arzuolunan
5days	5 gün
delivery	çatdırılma
bit	bitişirin
leave	buraxmaq
away	uzaq
conference	konfrans
aside	kənara
definitively	qəti şəkildə
bigger	irigənc
beach	çimərlik
duty	vəzifə
forward	irəli
renovated	yeniləndi
stuff	ştamplamaq
nor	əqənnəm
alone	tək
pizza	pizza
walked	gəzəyən
need	ehtiyac
across	boyun
waiter	cavan
within	içərisində
position	mövqe
holiday	tətil
pants	şalvar
euro	avro
at	at
couple	cütləşmək
will	iradə
opinion	rəy
woerden	vox
tended	təhrikedici
renewed	yenilənmiş
shopping	alış-veriş
police	polis
country	ölkə
dusting	tozlanma
europe	Avropa
greatincredible	qüsurlu
services	xidmətlər
cleaning	təmizlənmə
tuscan	tuscan
talking	söhbət
forum	forum
triump	zəfər
miles	mil
visitor	qonaq
possibilties	fürsət
during	zərrə
hostel	hostel
shops	dükan
ample	yaman
candy	konfet
read	oxuyun
easily	asanlıqla
gorgeous	qəşəng
exact	dəqiq
gilde	gildiya
year	il
shadows	kölgələr
damage	zərər
aerobic	aerobik
cleaners	təmizləyicilər
midnight	gecə yarısı
min	mənim
discovery	kəşf
rotten	çürük
thinks	düşünür
nearly	təqribən
160	160
completed	tamamlanmış
an	bir
drink	içmək
mood	əhval
even	hətta
connection	qoşulma
offers	təklif
dolphin	delfin
35	35
takes	alıb-tutmaq
kind	mehriban
paradise	cənnət
does	edir
winter	qışqırmaq
meet	görüşmək
minuscule	minuslu
funiture	mebel
the	bu
disadvantages	dezavantajlar
cared	qayğıkeş
firenze	Güllələnmə
castelo	Qala
swimmingpools	uzguculuk hovuzu
louise	louise
absolute	mütləq
mr	Cənab
elysee	ellysee
what	nə
decoration	bəzək
surely	şübhəsiz
italian	italyan
mountain	dağ
ultra	ultra
laughed	güldürün
charming	cazibədar
greets	salam
behind	arxada
rocko	roko
second	ikinci
linen	kətan
highway	magistral
parking	dayanacaq
8th	8-ci
higly	hignly
buses	avtobuslar
sri	sri
anyone	hər kəs
exchanging	mübadiləsi
moments	anlıq
offering	qurban
everyday	hər gün
internet	internet
aerea	hava
wanted	istənilən
thessaloniki	Saloniki
spoiled	korlanmış
allow	icazə vermək
because	çünki
quick	cəld
hearts	qəlb
houses	evlər
eurostar	eurostar
charged	doldurulmuş
shows	şövqlü
aerobicthey	aerobicthey
prompt	tövsiyə etmək
â±	â â
coach	məşqçi
partner	tərəfdaş
suit	kostyum
adjusted	düzəldilmiş
sneaky	gizli
nights	gecələr
standards	standartlar
honeymooners	bal ayıçıları
hotel	otel
common	ümumi
beautifully	gözəl
alright	tam
met	görüşmək
london	london
spend	sərf etmək
tee	tee
let	buraxmaq
restaraunts	restoran
purposed	məqsədilə
aforesaid	yuxarıda deyildi
taught	öyrədilmiş
families	ailələr
byron	byron
sewage	kanalizasiya
concerning	bariz
hamam	hamam
mention	bəyan etmək
reached	nail olmaq
ideally	idealcasına
heavily	ağır
upgrade	təkmilləşdirmək
see	görmək
solved	həll edilmiş
helped	kömək
am	allah
spent	sərfəli
building	bina
recommendable	tövsiyə olunan
plenty	çox
flat	düz
strip	zollamaq
hole	dəlik
enjoyed	bəyənilmiş
standard	standart
complaints	şikayət
value	dəyər
cinema	kino
bussiness	bəxtlilik
except	bundan başqa
smaller	kiçik
jam	cam
electrical	elektrik
liverpool	fənərbət
totally	ümumən
ervery	hər
crazy	dəli
how	Necə
time	vaxt
relax	rahatlamaq
facilties	qurğu
fantastically	fantastikcəsinə
give	vermək
smiling	gülümsəyən
anybody	kimsə
balcony	balkon
adult	böyüklər
de	dən
professionell	peşəkar
these	bunlar
trying	cəhd etmək
ibis	ibqə
cover	örtük
like	kimi
much	çox
seine	onun
closer	yaxından
enter	girmək
providing	təminat
smallest	ən kiçik
passport	pasport
reply	cavab vermək
boulevar	bulvar bulev
spending	xərcləmə
assist	kömək etmək
tables	masa
unlike	fərqli
entertainment	zahir
