anna	Анна
trying	покушај
renovated	реновиран
choises	избор
grill	роштиљ
teenagers	Тинејџери
brits	британски
welcomed	добродошао
tables	столови
regard	обзир
welcomewould	Добродошли
25	25
bussiness	послодавштина
check	проверавати
5days	5 дана
walls	зидови
prado	прадо
down	надиграти се
weekends	викенди
holidys	празници
waiter	конобар
garden	башта
wilderness	дивљина
bread	хлеб
lanxess	лонгесс
fish	риба
aquagym	аквагим
infrastructure	инфраструктура
back	назад
show	Прикажи
week	Недеља
theres	ту
bed	надимак
backpackers	бацкпацкерс
building	зграда
especialy	посебно
niuewstraat	Ниууевстраат
somewhere	негде
office	уред
case	случај
two	два
cook	кувар
buffet	бифе
steep	стрм
exchanging	размењивање
gardens	баште
conditions	услови
biggest	највећи
likewise	исто тако
fridge	фрижидер
denmark	Данска
plan	план
renewed	обновљен
or	или
of	од
florence	фиренца
stay	остати
offering	нудећи
elina	Елина
dec	декол
ours	наша
dirty	прљав
quicker	бржи
worked	укрстити
feature	одлика
spa	спа
unconfortable	неудобан
pay	платити
offers	нуди
reserved	резервисан
âs	"С)
seven	седам
inclysive	укључив
tuscany	тоскана
importen	увоз
saw	Тестера
robe	хаљина
boat	чамац
smaller	мањи
swimming	пливање
mohamed	Мохамиран
heater	грејач
candy	слаткиш
varieous	разнобојност
know	знати
reply	Одговорити
leaving	одлазак
vodka	водка
coming	долазак
repair	поправити
it	то
14	14
weekly	недељни
appart	апартман
booked	резервисан
convenient	погодан
goggle	наочара
his	његов
attention	пажња
hard	тежак
octoberfest	Октоберфест
price	Цена
hear	чути
attended	присуствовао
suprise	изненадити
expected	очекиван
cleaning	чишћење
away	утакмица
market	тржиште
patient	пацијент
there	тамо
private	приватно
carparking	паркинг
shous	ципеле
byron	бирон
surprised	изненађен
life	живот
give	дати
eat	јести
creaky	шкрипав
mexican	мексички
versa	верса
respects	поштовање
help	помоћ
elysees	Елисеес
living	живети
review	преглед
relatively	релативно
breathtaken	удикао
recently	недавно
forced	присиљен
burger	бургер
12	12
delicious	укусан
complex	комплекс
weren	штићеник
pants	панталоне
realy	стварно
black	црн
spreads	простире се
yaer	Ко
kept	задржан
informed	информисан
outstanding	изванредан
time	време
meal	оброк
alright	у реду
paradise	рај
specially	посебно
premises	просторије
luggage	пртљаг
ad	оглас
antic	прошлост
someone	неко
scam	превара
â¬	¿
few	мало
arranged	уређено
trained	обучен
couldn	не може
summer	лето
port	Лука
lord	господар
value	вредност
pension	пензионисати
seeing	види
cozy	угодан
situation	ситуација
verry	верри
disaster	катастрофа
took	преузети
unless	ако није
refund	враћање новца
hof	хоф
freezing	замрзавање
lousy	гадан
impressed	импресиониран
felt	осетио
blue	Плави
advance	унапред
key	кључ
shoping	куцање
smallest	најмањи
dreamy	сањалан
located	налази се
she	она
itself	сама
last	задњи
stores	продавнице
cusines	кухиње
institute	Институт
more	више
reservation	резервација
menu	мени
television	телевизија
centre	центер
honeymooners	медени месец
dam	брана
nn	нн
totally	тотално
fantastic	фантастичан
welcomes	поздравља
issues	питања
eg	на пример
simplistic	поједностављен
go	ићи
builders	градитељи
sastisfied	задовољан
over	преко
passing	пролазан
dining	трпезарија
confusing	збуњујући
went	отишао
reason	разлог
river	река
smart	оштроуман
brussels	Брисел
egypt	Египат
usually	обично
forward	напред
accomodation	смештај
juices	сокови
hussein	Хуссеин
smelly	смрдљив
aerea	ваздушни
cereal	житарице
serve	служити
despite	упркос
negative	негативан
has	је
unmatched	неуморан
reviews	коментара
character	карактер
duty	дужност
sauna	сауна
excusive	излучан
long	дугачак
odd	чудан
holidaymy	празник
okay	Добро
elegance	елеганција
pitches	бацачи
fantastically	фантастично
paied	паиед
fitnes	фитнес
quality	квалитет
requested	затражен
ia	он
entire	цео
elegant	елегантан
wine	вино
pirates	гусари
8th	8тх
rear	задњи
wait	чекати
consider	размотрити
enjoyable	угодан
aforesaid	горе померен
stares	загледа се
negga	негга
cuase	узрок
men	мушкарци
stress	стрес
wireless	бежични
even	Чак
class	класа
comfort	удобност
holland	холланд
stone	камен
orly	орлов
afraid	плашити се
120	120
public	јавно
however	Међутим
style	стил
13	13
higly	закуцавати се
photos	фотографије
purpose	сврха
holes	рупе
appreciate	ценити
thick	дебео
condition	стање
weather	време
interestingin	Занимљиво
make	направити
chipped	затегнут
setting	подешавање
siena	сиена
8	8
relations	везе
line	линија
beautiful	Лепа
assorted	сортирати
thats	то је
helping	помагање
speed	брзина
invaded	нападнут
travel	путовати
establishments	установе
builnding	зграда
ansd	анссд
invited	позван
luxuryfood	луксузну храну
delicacies	делиција
spoilt	покварен
accustomed	навикли
neightborhood	комшилук
spend	проводити
anybody	ико
cracked	проклето
name	назив
vacationpickalbatros	ВацатионПицкалбатрос
wg	у
indeed	заиста
those	они
since	Од
maybe	можда
online	на мрежи
tell	реците
c	ц
riverside	обала реке
amp	амп
hope	надати се
charme	шарм
sewage	канализација
assoiated	придружен
person	особа
picky	избирљив
continue	Настави
changes	Промене
considered	разматрати
bubba	бубба
palazzo	Палаззо
famous	познати
after	после
prepared	припремљен
oliver	оливер
relax	опусти се
sleep	спавати
broken	сломљен
seen	виђен
wife	жена
2nd	2.
resort	налетати
pizzeria	пицерија
opera	операти
shop	продавница
hamburger	хамбургер
destination	одредиште
liverpool	ливерпул
disappointing	разочаравајући
wheel	точак
n	н
late	касно
staying	који борави
to	до
facilties	објекти
thing	ствар
difficult	тежак
able	способан
november	новембар
276	276
pleasure	задовољство
dorm	Студентски дом
studio	студио
the	тхе
smiling	насмејан
area	област
suit	одело
extrasthe	Екстрасхе
germans	Немци
piece	комад
people	људи
way	начин
wasn	безгорски
husband	мужа
surrounding	који окружује
varied	разнолик
paid	плаћен
rules	Правила
montjuic	Монтјуиц
try	покушати
toiletries	тоалетне потрепштине
inside	у
service	служба
worst	најгори
cannot	не може
minus	минус
tastes	укус
beaches	Плаже
refurnished	спорњен
directly	директно
outside	напољу
â	А € ™
furniture	намештај
bathing	купање
maintained	одржаван
sablon	Сито штампа
champs	шампион
quick	брзо
world	свет
several	неколико
mostly	углавном
jammed	заглављен
english	енглески језик
maid	служавка
staff	особље
â	"
unclear	нејасан
cleanliness	чистоћа
kitchen	кухиња
opportunitys	прилика
rambla	рамбла
noisy	бучан
d	д
tasteswe	Тастеесве
scale	Скала
correspond	одговарати
ihad	пожељан
courses	курсеви
20	20
perfume	парфем
stephanie	Степхание
extremly	екстремно
idem	исти
espresso	еспрессо
friendliness	љубазност
departure	одлазак
sky	небо
westminster	Вестминстер
summary	резиме
cake	торта
number	број
construction	конструкција
queue	редак
loveliest	најлепши
hade	Имао је.
finishes	завршава се
prefect	префект
french	Француски
highly	високо
warmbarman	топлобарман
pipes	цеви
agia	агиа
brilliant	сјајан
sharm	схарм
brandy	ракија
modest	скроман
earth	земља
machine	машина
guys	момци
recommendations	препоруке
checkouts	благајне
pull	повући
â±	± ±
problem	проблем
curtains	завесе
supported	подржан
breakfasts	доручак
winter	зима
side	на страни
warmly	топло
scandic	сцандиц
wery	вери
association	удружење
dance	плесати
gave	давао
known	познат
deprived	лишен
village	село
polite	учтив
desired	жељан
shuttle	трансфер
vip	вип
buy	купити
said	рекао
marriott	Марриотт
weekend	викенд
handle	руковати
and	и
climbing	пењање
across	широм
gone	отишла
active	активан
girls	девојке
restaurants	Ресторани
cleanest	најчишће
trafford	Траффорд
speaks	говорити
advantadge	предност
feel	осетити
soon	ускоро
video	видео
hte	хте
wouln	волн
ever	икад
rum	рум
door	врата
hilton	Хилтон
adults	одрасли
oasis	оаза
station	станица
strongly	снажно
large	велики
spent	потрошен
90	90
amp;	амп;
swimmingpool	базен
expect	очекивати
bass	бас
colorful	разнобојан
great	сјајно
emily	Емили
turkey	ћурка
came	Дошао
replinished	допуњен
prompt	уписан
awful	грозан
colors	боје
mins	мин
checkin	пријавити
insisted	инсистирао
30th	30.
wear	носити
unpleasantness	непријатност
heaven	небо
bands	бендови
utrecht	утрехт
only	само
save	сачувати
polish	Пољски
comprehensive	обиман
s	с
